<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20190410;110000;162.4000000;163.8300000;162.1200000;163.2000000;4198040
GAZP;60;20190410;120000;163.2500000;163.4900000;163.0900000;163.2900000;2865520
GAZP;60;20190410;130000;163.2900000;164.9500000;163.0000000;164.8500000;7357970
GAZP;60;20190410;140000;164.8300000;164.9500000;164.2400000;164.3200000;2702040
GAZP;60;20190410;150000;164.3500000;164.6000000;163.8500000;164.1500000;2171450
GAZP;60;20190410;160000;164.1700000;164.4900000;163.9900000;164.4200000;2740760
GAZP;60;20190410;170000;164.4000000;164.7900000;164.1500000;164.2500000;4323560
GAZP;60;20190410;180000;164.2700000;164.3500000;163.7600000;163.8700000;4166960
GAZP;60;20190410;190000;163.8700000;164.0900000;162.7700000;162.8800000;8422140
GAZP;60;20190411;110000;162.3700000;162.9500000;161.1200000;161.7700000;11374100
GAZP;60;20190411;120000;161.7500000;162.8500000;161.6100000;161.7900000;2933900
GAZP;60;20190411;130000;161.8100000;161.9400000;160.1900000;160.3900000;4631280
GAZP;60;20190411;140000;160.4000000;160.5800000;159.6600000;160.3100000;4645870
GAZP;60;20190411;150000;160.2900000;160.9000000;159.7100000;159.9400000;2835510
GAZP;60;20190411;160000;159.9400000;160.0900000;159.3200000;159.7500000;3721620
GAZP;60;20190411;170000;159.7400000;160.0500000;158.3700000;158.4100000;6006420
GAZP;60;20190411;180000;158.4100000;159.0400000;158.4100000;158.8400000;4022340
GAZP;60;20190411;190000;158.8400000;158.9800000;158.0400000;158.0400000;4747280
GAZP;60;20190412;110000;158.5700000;159.3000000;158.1600000;158.9900000;3116460
GAZP;60;20190412;120000;158.9900000;160.3000000;158.9400000;160.0900000;5650500
GAZP;60;20190412;130000;160.0900000;160.1400000;158.8100000;158.9200000;3213000
GAZP;60;20190412;140000;158.9000000;159.4300000;158.8700000;159.2100000;1090830
GAZP;60;20190412;150000;159.2100000;160.0000000;158.8700000;159.9800000;2252470
GAZP;60;20190412;160000;159.9700000;160.4600000;159.6300000;159.7300000;2637310
GAZP;60;20190412;170000;159.7500000;159.8300000;158.8800000;159.0800000;2824160
GAZP;60;20190412;180000;159.0700000;159.2500000;157.9000000;158.7500000;5570410
GAZP;60;20190412;190000;158.6600000;159.2500000;158.3700000;159.1200000;2937340
GAZP;60;20190415;110000;160.0000000;160.1000000;159.0100000;159.6400000;2029600
GAZP;60;20190415;120000;159.6400000;160.6000000;159.5900000;160.5300000;2866560
GAZP;60;20190415;130000;160.5300000;160.5600000;160.0000000;160.2100000;2018270
GAZP;60;20190415;140000;160.2000000;160.2700000;160.0400000;160.1300000;866150
GAZP;60;20190415;150000;160.1100000;160.1400000;159.4500000;159.8900000;1487170
GAZP;60;20190415;160000;159.9000000;159.9000000;159.0100000;159.2200000;1011950
GAZP;60;20190415;170000;159.2000000;159.5100000;158.2100000;158.5900000;2147580
GAZP;60;20190415;180000;158.5800000;158.7000000;157.6200000;158.4600000;3952060
GAZP;60;20190415;190000;158.4600000;158.5800000;158.3000000;158.3300000;1782470
GAZP;60;20190416;110000;158.9900000;159.2900000;158.6300000;159.0000000;2372160
GAZP;60;20190416;120000;159.0000000;159.0600000;158.2100000;158.4200000;1915770
GAZP;60;20190416;130000;158.4200000;158.7500000;158.4000000;158.4800000;907460
GAZP;60;20190416;140000;158.4800000;159.1500000;158.4600000;158.9000000;1073700
GAZP;60;20190416;150000;158.9000000;160.3000000;158.9000000;160.2400000;2811110
GAZP;60;20190416;160000;160.2700000;160.5000000;159.7000000;160.0800000;2690870
GAZP;60;20190416;170000;160.0600000;160.0900000;159.3800000;159.9300000;1461360
GAZP;60;20190416;180000;159.9000000;162.7000000;159.7200000;162.3100000;6063500
GAZP;60;20190416;190000;162.3100000;163.4200000;162.0100000;162.2400000;7972440
GAZP;60;20190417;110000;163.0000000;163.5900000;162.4200000;162.9500000;4317180
GAZP;60;20190417;120000;162.9000000;163.4000000;162.4000000;163.1000000;3082950
GAZP;60;20190417;130000;163.0600000;163.2900000;162.8100000;163.1100000;1485970
GAZP;60;20190417;140000;163.1100000;163.3900000;163.1000000;163.3600000;836970
GAZP;60;20190417;150000;163.3700000;164.7500000;163.2200000;164.7500000;4223410
